,Country,Alcoholic Beverages (fat),Animal Products (fat),Animal fats (fat),"Aquatic Products, Other (fat)",Cereals - Excluding Beer (fat),Eggs (fat),"Fish, Seafood (fat)",Fruits - Excluding Wine (fat),Meat (fat),Miscellaneous (fat),Milk - Excluding Butter (fat),Offals (fat),Oilcrops (fat),Pulses (fat),Spices (fat),Starchy Roots (fat),Stimulants (fat),Sugar Crops (fat),Sugar & Sweeteners (fat),Treenuts (fat),Vegetal Products (fat),Vegetable Oils (fat),Vegetables (fat),Obesity (fat),Undernourished (fat),Confirmed (fat),Deaths (fat),Recovered (fat),Active (fat),Population (fat),Unit (all except Population) (fat),Alcoholic Beverages (kcal),Animal Products (kcal),Animal fats (kcal),"Aquatic Products, Other (kcal)",Cereals - Excluding Beer (kcal),Eggs (kcal),"Fish, Seafood (kcal)",Fruits - Excluding Wine (kcal),Meat (kcal),Milk - Excluding Butter (kcal),Miscellaneous (kcal),Offals (kcal),Oilcrops (kcal),Pulses (kcal),Spices (kcal),Starchy Roots (kcal),Stimulants (kcal),Sugar Crops (kcal),Sugar & Sweeteners (kcal),Treenuts (kcal),Vegetal Products (kcal),Vegetable Oils (kcal),Vegetables (kcal),Obesity (kcal),Undernourished (kcal),Confirmed (kcal),Deaths (kcal),Recovered (kcal),Active (kcal),Population (kcal),Unit (all except Population) (kcal),Alcoholic Beverages (protein),Animal Products (protein),Animal fats (protein),"Aquatic Products, Other (protein)",Cereals - Excluding Beer (protein),Eggs (protein),"Fish, Seafood (protein)",Fruits - Excluding Wine (protein),Meat (protein),Milk - Excluding Butter (protein),Offals (protein),Oilcrops (protein),Pulses (protein),Spices (protein),Starchy Roots (protein),Stimulants (protein),Sugar Crops (protein),Sugar & Sweeteners (protein),Treenuts (protein),Vegetal Products (protein),Vegetable Oils (protein),Vegetables (protein),Miscellaneous (protein),Obesity (protein),Undernourished (protein),Confirmed (protein),Deaths (protein),Recovered (protein),Active (protein),Population (protein),Unit (all except Population) (protein)
48,Ethiopia,0.0,11.1691,1.4358,0.0,11.3929,0.2238,0.0559,0.4102,4.1768,0.0,5.1091,0.1678,2.6851,2.5545,2.6851,0.8018,0.0186,0.0,0.0,0.7459,38.8216,17.4156,0.1305,3.6,20.6,0.123092519753559,0.0018665808068502,0.109237181941592,0.0119887570051168,114916000.0,%,0.4774,2.0182,0.1519,0.0,31.5321,0.0434,0.0217,0.2821,0.651,1.1068,0.0,0.0651,0.4123,4.4705,0.5859,6.1198,0.0651,0.0,1.8663,0.0868,47.9601,1.8012,0.2821,3.6,20.6,0.123092519753559,0.0018665808068502,0.109237181941592,0.0119887570051168,114916000.0,%,0.1676,4.4561,0.0076,0.0,29.7303,0.099,0.1066,0.1143,1.6834,2.1938,0.3656,0.8074,10.748,0.7693,2.3461,0.3047,0.0,0.0,0.0838,45.5515,0.0,0.457,0.0076,3.6,20.6,0.123092519753559,0.0018665808068502,0.109237181941592,0.0119887570051168,114916000.0,%
49,Fiji,0.0,20.0472,7.6883,0.0,1.5114,0.5773,1.4694,0.084,8.423,0.0262,1.7948,0.0945,8.9635,0.2991,0.1312,0.3569,0.4408,0.0,0.0,0.1469,29.9554,17.8168,0.1732,30.0,3.7,0.00625,0.0002232142857142,0.0059151785714285,0.0001116071428571,896000.0,%,0.7322,8.4795,2.2476,0.0,18.1338,0.2724,1.1238,0.63,3.5587,1.1749,0.0681,0.1192,3.5076,1.8219,0.1192,4.3419,0.2384,0.0,5.9254,0.0511,41.512,5.1081,0.8343,30.0,3.7,0.00625,0.0002232142857142,0.0059151785714285,0.0001116071428571,896000.0,%,0.2232,21.1078,0.2435,0.0,16.8335,0.8386,6.3303,0.3043,10.1515,2.7323,0.8116,1.8734,4.6936,0.1826,2.7797,0.3382,0.0,0.0,0.0609,28.8922,0.0203,1.5014,0.0812,30.0,3.7,0.00625,0.0002232142857142,0.0059151785714285,0.0001116071428571,896000.0,%
50,Finland,0.0,36.725,6.3787,0.0,1.7872,0.8524,0.9384,0.2901,16.6649,0.1146,11.8155,0.0788,0.6017,0.0179,0.043,0.0537,0.7844,0.0,0.0,0.5157,13.2732,8.8607,0.2041,24.9,<2.5,0.854801953336951,0.0124434798336046,0.560680050642069,0.281678422861277,5529000.0,%,2.4873,19.2239,2.4273,0.0,14.504,0.5094,0.944,1.6032,7.9562,7.267,0.4495,0.1199,0.2997,0.1648,0.045,1.6931,0.5993,0.0,4.525,0.2397,30.7761,3.2814,0.884,24.9,<2.5,0.854801953336951,0.0124434798336046,0.560680050642069,0.281678422861277,5529000.0,%,0.4797,31.2205,0.2505,0.0,13.0758,1.1632,3.8251,0.5434,11.1059,14.3706,0.501,0.3524,0.3099,0.0425,1.1123,1.0826,0.0,0.0042,0.1826,18.7816,0.0594,1.1038,0.433,24.9,<2.5,0.854801953336951,0.0124434798336046,0.560680050642069,0.281678422861277,5529000.0,%
51,France,0.0,30.2594,9.1996,0.0,1.4334,0.9894,0.8752,0.3869,11.0864,0.0159,7.9533,0.1554,0.685,0.0254,0.0285,0.0412,0.6279,0.0,0.0,0.853,19.7406,15.4658,0.1776,23.2,<2.5,5.1990545118571,0.121558361564521,0.367876501385895,4.70961964890668,64940000.0,%,1.9955,16.9899,3.6818,0.0,13.8983,0.6183,0.8994,1.6582,6.1551,5.3963,0.0562,0.2389,0.3513,0.2389,0.0422,1.321,0.4356,0.0,5.5509,0.4216,33.0101,6.0568,0.9837,23.2,<2.5,5.1990545118571,0.121558361564521,0.367876501385895,4.70961964890668,64940000.0,%,0.1784,31.0849,0.2677,0.0,13.4993,1.6015,3.9079,0.6513,12.8703,11.1617,1.2714,0.4104,0.513,0.0401,0.977,0.7361,0.0,0.0045,0.3569,18.9195,0.0134,1.4811,0.0535,23.2,<2.5,5.1990545118571,0.121558361564521,0.367876501385895,4.70961964890668,64940000.0,%
52,French Polynesia,0.0,25.1596,4.6648,0.0,3.7271,0.822,1.5842,0.1995,14.0782,0.2913,3.8827,0.1277,4.7566,0.0399,0.02,0.0758,1.269,0.0,0.0,0.3192,24.8404,14.0024,0.1397,,4.2,,,,,280000.0,%,1.4879,15.0676,1.8129,0.0,15.8885,0.496,1.6419,1.0433,8.1409,2.7364,1.1459,0.2223,2.4457,0.325,0.0171,1.9155,0.667,0.1368,3.5574,0.1539,34.941,5.3019,0.8551,,4.2,,,,,280000.0,%,0.3778,32.9981,0.2042,0.0153,10.705,1.1741,7.0448,0.3931,18.8677,4.768,0.9189,1.0618,0.6636,0.0255,0.9036,0.3471,0.0255,0.0,0.1174,17.0044,0.0153,1.2558,1.1129,,4.2,,,,,280000.0,%
53,Gabon,0.0,19.2656,0.7379,0.0,4.1074,0.1956,2.0359,0.6401,13.4068,0.1422,2.2937,0.5957,8.9438,0.0089,0.0,0.5779,0.7112,0.0,0.0,0.0178,30.7344,15.3805,0.2045,13.4,10.5,0.51353653070372,0.0031824294038547,0.483953384132676,0.0264007171671896,2231000.0,%,2.0617,7.1874,0.1513,0.0,18.0064,0.0567,1.0781,5.2771,4.4638,0.9835,0.3215,0.4539,2.3454,0.0378,0.0,8.398,0.1702,0.0189,2.7237,0.0189,42.8031,2.8939,0.5485,13.4,10.5,0.51353653070372,0.0031824294038547,0.483953384132676,0.0264007171671896,2231000.0,%,0.6967,24.3394,0.0188,0.0,15.1258,0.1695,5.2846,1.6507,14.6928,1.7071,2.4666,3.3264,0.069,0.0,3.3202,0.1004,0.0063,0.0,0.0126,25.6637,0.0126,0.9352,0.4017,13.4,10.5,0.51353653070372,0.0031824294038547,0.483953384132676,0.0264007171671896,2231000.0,%
54,Gambia,0.0,6.0418,0.2548,0.0,4.9416,0.2113,1.3488,0.0373,1.3488,0.0622,2.8468,0.0311,12.4751,0.0311,0.0,0.0124,0.0995,0.0,0.0,0.2362,43.9582,25.9883,0.0746,8.7,10.2,0.175299958626396,0.0055440628878775,0.160777823748448,0.0089780719900703,2417000.0,%,0.3543,3.7394,0.0787,0.0,26.8845,0.0984,1.1021,0.1771,0.6298,1.791,0.1771,0.0394,4.8219,0.1574,0.0,0.3543,0.0787,0.0,5.5895,0.0787,46.2704,7.282,0.2952,8.7,10.2,0.175299958626396,0.0055440628878775,0.160777823748448,0.0089780719900703,2417000.0,%,0.2116,13.0026,0.0078,0.0,26.687,0.3213,6.7403,0.0705,2.3513,3.3702,0.2116,8.0649,0.4232,0.0078,0.1332,0.4232,0.0,0.0,0.1019,37.0013,0.0157,0.6427,0.2116,8.7,10.2,0.175299958626396,0.0055440628878775,0.160777823748448,0.0089780719900703,2417000.0,%
55,Georgia,0.0,25.2749,7.2612,0.0,4.5695,1.1781,0.4284,0.2071,7.2326,0.1071,9.0818,0.1,0.6854,0.0,0.0714,0.0928,2.7774,0.0,0.0,1.1566,24.718,14.8579,0.1999,23.3,7.9,7.04226110363392,0.0879946164199192,6.80524899057873,0.149017496635262,3715000.0,%,1.2367,8.8138,1.6025,0.0,25.6053,0.4006,0.2613,0.8361,2.3689,4.0759,0.2264,0.0871,0.1916,0.0,0.0523,1.4806,0.8361,0.0,6.6539,0.2961,41.1949,3.205,0.5748,23.3,7.9,7.04226110363392,0.0879946164199192,6.80524899057873,0.149017496635262,3715000.0,%,0.1495,18.4294,0.169,0.0,27.2574,1.1636,1.4822,0.3835,6.7867,8.2299,0.5981,0.299,0.013,0.0715,1.2936,0.6436,0.0,0.0065,0.2665,31.5673,0.026,0.8906,0.273,23.3,7.9,7.04226110363392,0.0879946164199192,6.80524899057873,0.149017496635262,3715000.0,%
56,Germany,0.0,28.1419,11.0084,0.0,1.1778,1.0462,0.7019,0.2632,8.9127,0.0,6.4289,0.0472,0.8909,0.0101,0.0844,0.0607,0.6614,0.0,0.0,1.6739,21.8581,16.8163,0.216,25.7,<2.5,2.74310084033613,0.073890756302521,2.45136614645858,0.21784393757503,83300000.0,%,3.2902,15.3684,4.162,0.0,12.4016,0.6187,0.5343,1.5607,5.0759,4.9072,0.0,0.0703,0.4781,0.0984,0.0984,1.7717,0.4218,0.0,6.482,0.7593,34.6316,6.1867,1.0827,25.7,<2.5,2.74310084033613,0.073890756302521,2.45136614645858,0.21784393757503,83300000.0,%,0.6525,30.2658,0.3023,0.0,12.9162,1.7081,2.0631,0.6237,13.7703,12.0526,0.3646,0.7821,0.2351,0.12,1.3051,0.6669,0.0,0.0048,0.7005,19.7342,0.0288,1.7033,0.0,25.7,<2.5,2.74310084033613,0.073890756302521,2.45136614645858,0.21784393757503,83300000.0,%
57,Ghana,0.0,7.6875,0.806,0.0,5.6789,0.3472,2.7774,1.2151,3.1618,0.0496,0.4216,0.1736,10.9113,0.3968,1.2771,2.0087,0.0,0.0,0.0,0.0868,42.3063,20.4464,0.248,9.7,5.5,0.225424001544749,0.0014449843915939,0.204363917227175,0.0196150999259808,31073000.0,%,0.3956,2.1263,0.0989,0.0,13.8784,0.0659,0.923,5.6865,0.7417,0.2308,0.0494,0.0824,1.6812,1.0219,0.5769,19.6143,0.0,0.0659,1.9779,0.0989,47.8655,2.4065,0.4121,9.7,5.5,0.225424001544749,0.0014449843915939,0.204363917227175,0.0196150999259808,31073000.0,%,0.1509,12.1922,0.0079,0.0,16.2272,0.2701,6.6164,2.5417,4.1064,0.5878,0.5957,2.5576,3.2089,1.2073,10.8181,0.0159,0.0318,0.0,0.1191,37.8157,0.0159,0.8419,0.0715,9.7,5.5,0.225424001544749,0.0014449843915939,0.204363917227175,0.0196150999259808,31073000.0,%
58,Greece,0.0,17.9063,1.6989,0.0,1.328,0.7749,0.3245,0.2484,6.6267,0.0298,8.3355,0.1424,1.8413,0.0795,0.0497,0.0431,0.7749,0.0,0.0,1.881,32.097,25.5332,0.2848,27.4,<2.5,1.52535514018692,0.0556168224299065,0.876299065420561,0.593439252336449,10700000.0,%,1.0285,11.4771,0.7006,0.0,14.4731,0.4919,0.5068,2.2954,4.1586,5.4255,0.164,0.1938,0.8794,0.6707,0.0596,1.5203,0.4919,0.0,4.2629,1.0434,38.5303,10.1654,1.4607,27.4,<2.5,1.52535514018692,0.0556168224299065,0.876299065420561,0.593439252336449,10700000.0,%,0.2376,26.9807,0.0998,0.0,14.543,1.2737,2.6995,0.9981,10.9548,11.0689,0.884,0.6036,1.3593,0.0665,1.1121,0.6273,0.0,0.0095,0.8887,23.0217,0.0285,2.3193,0.2234,27.4,<2.5,1.52535514018692,0.0556168224299065,0.876299065420561,0.593439252336449,10700000.0,%
59,Grenada,0.0,23.0842,2.4889,0.0,1.4883,1.444,1.2856,2.8436,12.9576,0.1267,4.8195,0.0823,3.3186,0.19,0.8803,0.0697,0.874,0.0,0.0,0.1393,26.9158,16.8841,0.1077,20.2,,0.130973451327434,0.0008849557522123,0.129203539823009,0.0008849557522123,113000.0,%,1.9979,12.2581,0.7284,0.0,13.7565,0.7284,1.1446,3.5588,5.7648,3.8085,0.3538,0.0832,1.1863,1.3111,0.6452,1.1446,0.3122,0.0,7.9084,0.0416,37.7523,4.9116,0.6035,20.2,,0.130973451327434,0.0008849557522123,0.129203539823009,0.0008849557522123,113000.0,%,0.1204,30.3273,0.0567,0.0,12.2414,1.8631,5.9719,1.4452,15.3939,6.5812,0.4605,0.5809,2.6991,0.5667,0.6801,0.1204,0.0,0.0,0.0425,19.6727,0.0283,0.7793,0.3684,20.2,,0.130973451327434,0.0008849557522123,0.129203539823009,0.0008849557522123,113000.0,%
60,Guatemala,0.0,15.4397,1.7622,0.0,9.3956,2.6186,0.1482,1.2516,7.0735,0.0247,3.7385,0.0988,3.7879,0.5764,0.1235,0.0247,0.3788,0.0,0.0,0.9305,34.5603,17.8113,0.2553,18.8,15.2,0.901898594044061,0.0324034097199159,0.824294254400531,0.0452009299236134,18066000.0,%,0.5887,5.5534,0.3925,0.0,23.8619,0.9419,0.0981,1.3736,2.551,1.4914,0.0589,0.0785,1.0793,2.7473,0.0589,0.3532,0.1766,0.0,9.3995,0.2159,44.4662,3.748,0.7653,18.8,15.2,0.901898594044061,0.0324034097199159,0.824294254400531,0.0452009299236134,18066000.0,%,0.0787,15.405,0.0358,0.0,23.6119,2.6188,0.5581,0.6583,8.7221,2.9408,0.5366,1.431,6.597,0.0859,0.2504,0.4865,0.0,0.0,0.1002,34.595,0.0143,1.1806,0.093,18.8,15.2,0.901898594044061,0.0324034097199159,0.824294254400531,0.0452009299236134,18066000.0,%
61,Guinea,0.0,6.0747,0.7557,0.0,4.7086,0.3125,0.5014,0.3415,2.8993,0.0363,1.4896,0.1163,6.6633,0.1744,0.0,0.3343,0.2616,0.0,0.0,0.0073,43.9253,30.6133,0.7848,6.6,16.5,0.116759554140127,0.0006687898089171,0.114012738853503,0.002078025477707,12560000.0,%,0.0894,2.415,0.161,0.0,24.8479,0.1073,0.3399,2.5939,1.0376,0.6619,0.0716,0.1073,1.8784,0.7335,0.0,6.7979,0.0894,0.0,2.2182,0.0,47.585,6.6547,1.61,6.6,16.5,0.116759554140127,0.0006687898089171,0.114012738853503,0.002078025477707,12560000.0,%,0.0404,9.2262,0.0162,0.0,26.1017,0.4286,2.442,1.3019,4.1077,1.4797,0.7601,3.5417,2.159,0.0,3.0403,0.2183,0.0,0.0,0.0,40.7779,0.0081,4.2371,0.1132,6.6,16.5,0.116759554140127,0.0006687898089171,0.114012738853503,0.002078025477707,12560000.0,%
62,Guinea-Bissau,0.0,10.8323,0.6274,0.0,2.8828,0.1509,0.0715,0.2938,8.0527,0.0556,1.8027,0.1271,1.7154,0.0794,0.0,0.1985,0.2224,0.0,0.0,3.3116,39.1677,30.3288,0.0794,8.2,28,0.143850544888428,0.0023871302542812,0.125947067981318,0.0155163466528282,1927000.0,%,0.6881,3.8624,0.1554,0.0,28.6127,0.0666,0.0444,1.9534,2.5971,0.8657,0.1332,0.111,0.5771,0.3996,0.0,4.1065,0.0666,0.0,0.6881,1.1543,46.1487,7.5028,0.2664,8.2,28,0.143850544888428,0.0023871302542812,0.125947067981318,0.0155163466528282,1927000.0,%,0.1925,10.5663,0.034,0.0,30.7701,0.2718,0.4077,0.9966,6.761,2.1857,0.906,1.2684,1.3364,0.0,1.88,0.0793,0.0,0.0,1.8913,39.4337,0.0113,0.7928,0.2152,8.2,28,0.143850544888428,0.0023871302542812,0.125947067981318,0.0155163466528282,1927000.0,%
63,Guyana,0.0,22.7418,1.002,0.0,2.9072,0.334,1.169,1.503,12.555,0.0911,7.6287,0.0531,9.3518,0.3871,0.8653,0.129,0.9261,0.0,0.0,0.8805,27.2582,9.0633,1.1538,19.2,8.1,1.00876747141042,0.0228716645489199,0.884625158831004,0.101270648030496,787000.0,%,0.5719,9.0121,0.208,0.0,21.2998,0.1213,0.8666,2.253,3.6915,4.1075,0.1906,0.0347,2.5303,1.1612,0.5546,1.3345,0.2773,0.0,5.5459,0.2253,40.9879,1.8371,3.1889,19.2,8.1,1.00876747141042,0.0228716645489199,0.884625158831004,0.101270648030496,787000.0,%,0.1537,22.1489,0.0114,0.0,15.7922,0.2902,4.6153,0.8821,8.5306,8.5249,0.1821,2.0885,2.3902,0.6203,0.7341,0.2959,0.0,0.0,0.1821,27.8511,0.0285,4.456,0.2219,19.2,8.1,1.00876747141042,0.0228716645489199,0.884625158831004,0.101270648030496,787000.0,%
64,Haiti,0.0,12.1462,1.7481,0.0,5.7517,0.1353,0.3722,1.6804,7.8944,0.0564,1.8608,0.1353,3.3157,0.8458,0.0,0.5526,0.3609,0.0,0.0226,0.0,37.8482,25.1494,0.1241,20.5,49.3,0.103113215820398,0.0021485573971761,0.0802946593001842,0.0206699991230378,11403000.0,%,2.0559,3.7884,0.3234,0.0,21.5754,0.0462,0.2079,2.9568,2.079,1.0626,0.0924,0.0924,0.8085,3.8346,0.0,5.7057,0.2079,0.0,4.0425,0.0,46.2,4.5507,0.3696,20.5,49.3,0.103113215820398,0.0021485573971761,0.0802946593001842,0.0206699991230378,11403000.0,%,0.0,9.993,0.03,0.0,22.5894,0.1302,1.3217,1.2616,6.138,1.6922,0.6809,1.3117,10.3835,0.0,2.6434,0.8511,0.0,0.01,0.0,40.012,0.01,0.801,0.1402,20.5,49.3,0.103113215820398,0.0021485573971761,0.0802946593001842,0.0206699991230378,11403000.0,%
65,Honduras,0.0,16.7113,2.6611,0.0,8.3159,0.7448,0.1302,0.376,7.8603,0.0651,5.2281,0.0868,0.5857,0.4194,0.0289,0.0217,0.3833,0.0,0.0,0.1012,33.2924,22.8722,0.1157,19.4,12.9,1.5602696674777,0.0376115166261152,0.626368613138686,0.896289537712895,9864000.0,%,0.7052,6.7385,0.6464,0.0,23.3301,0.2938,0.0979,1.5475,2.8991,2.7032,0.1567,0.0784,0.1763,2.3898,0.0196,0.2938,0.2351,0.0,8.5406,0.0392,43.2517,5.4848,0.3722,19.4,12.9,1.5602696674777,0.0376115166261152,0.626368613138686,0.896289537712895,9864000.0,%,0.1091,17.3784,0.0156,0.0,23.5193,0.9196,0.6546,0.7481,9.11,6.1253,0.5533,0.2182,6.1877,0.0312,0.1948,0.6858,0.0,0.0,0.039,32.6216,0.0156,0.6858,0.187,19.4,12.9,1.5602696674777,0.0376115166261152,0.626368613138686,0.896289537712895,9864000.0,%
66,Hungary,0.0,28.9972,12.3082,0.0,1.2735,1.2018,0.1954,0.127,10.0576,0.0,5.2308,0.0033,0.3583,0.0391,0.1107,0.0391,0.7393,0.0,0.0,0.0456,21.0012,18.0699,0.2019,28.6,<2.5,3.84073922391727,0.13336746186137,2.84579707177229,0.861574690283608,9767000.0,%,3.0432,16.0682,5.28,0.0,13.4206,0.8065,0.1978,1.0347,5.9038,3.8649,0.0152,0.0,0.1978,0.4108,0.1522,1.339,0.426,0.0,5.3408,0.0304,33.9318,7.4863,1.0499,28.6,<2.5,3.84073922391727,0.13336746186137,2.84579707177229,0.861574690283608,9767000.0,%,0.5289,28.3269,0.5687,0.0,15.6506,2.4056,1.035,0.4208,14.4791,9.8157,0.0171,0.2616,1.0009,0.1877,1.1601,0.4777,0.0,0.0,0.0284,21.6731,0.1081,1.8369,0.0171,28.6,<2.5,3.84073922391727,0.13336746186137,2.84579707177229,0.861574690283608,9767000.0,%
67,Iceland,0.0,34.4402,7.1086,0.0,4.3005,0.8991,1.6872,0.4975,13.6029,0.1199,11.0046,0.1349,0.8931,0.012,0.1079,0.03,1.5254,0.0,0.0,0.5005,15.5628,7.4053,0.1678,23.1,<2.5,1.63614130434783,0.0078804347826087,1.61929347826087,0.0089673913043478,368000.0,%,2.0403,22.2911,2.9915,0.0,10.7803,0.5928,2.2746,2.2195,7.5958,8.5746,0.4687,0.2619,0.4825,0.0965,0.1654,1.0753,0.9374,0.0,5.3212,0.2481,27.7089,3.019,0.8547,23.1,<2.5,1.63614130434783,0.0078804347826087,1.61929347826087,0.0089673913043478,368000.0,%,0.3794,35.786,0.3298,0.0,9.3826,1.2163,9.3968,0.6383,11.7124,12.5102,0.617,0.5142,0.1596,0.1312,0.5674,0.9184,0.0,0.0035,0.1773,14.2158,0.0035,0.9787,0.3617,23.1,<2.5,1.63614130434783,0.0078804347826087,1.61929347826087,0.0089673913043478,368000.0,%
68,India,0.0,16.0538,7.4859,0.0,5.1196,0.7653,0.3783,0.4046,0.9061,0.0,6.4919,0.0264,3.7386,1.1084,0.8005,0.0792,0.0176,0.0,0.0,0.5014,33.9462,21.7804,0.3958,3.8,14.5,0.77325641025641,0.0110703521177059,0.751560674237554,0.0106253839011499,1400100000.0,%,0.2582,5.5622,1.4899,0.0,27.652,0.2384,0.2582,1.4303,0.298,3.2578,0.0,0.0199,0.9734,3.1387,0.5959,1.1124,0.0199,0.0,3.5757,0.1986,44.4378,4.3504,1.1323,3.8,14.5,0.77325641025641,0.0110703521177059,0.751560674237554,0.0106253839011499,1400100000.0,%,0.0077,11.2582,0.0306,0.0,25.2794,0.7271,1.5537,0.6659,1.0179,7.8142,0.1225,1.1174,7.2096,0.8189,0.8955,0.176,0.0,0.0459,0.1837,38.7418,0.0,2.3343,0.0,3.8,14.5,0.77325641025641,0.0110703521177059,0.751560674237554,0.0106253839011499,1400100000.0,%
69,Indonesia,0.0,9.1722,0.7049,0.0,6.6871,1.4549,2.5122,0.7139,3.6237,0.0,0.7049,0.1627,7.3649,0.0452,0.3886,0.3072,0.497,0.0,0.0633,0.3976,40.8368,24.0918,0.2711,6.9,8.3,0.422099882607944,0.0115526295452622,0.345619877897541,0.0649273751651401,271739000.0,%,0.0346,3.372,0.121,0.0,31.9557,0.3977,1.4698,1.4179,0.9165,0.3631,0.0,0.1038,1.833,0.1729,0.2594,2.4728,0.1383,0.0,3.4584,0.0865,46.6367,4.0809,0.709,6.9,8.3,0.422099882607944,0.0115526295452622,0.345619877897541,0.0649273751651401,271739000.0,%,0.0073,16.164,0.0219,0.0,27.3237,1.2821,10.1617,0.743,2.921,1.0854,0.692,2.3529,0.4953,0.3351,0.7503,0.4006,0.0,0.0219,0.102,33.836,0.0,1.2966,0.0073,6.9,8.3,0.422099882607944,0.0115526295452622,0.345619877897541,0.0649273751651401,271739000.0,%
70,Iran (Islamic Republic of),0.0,16.9273,6.0372,0.0,5.5867,1.3259,0.6114,0.6243,6.1724,0.0,2.6389,0.1416,0.4055,0.2961,0.2124,0.1738,0.0451,0.0,0.0,4.9044,33.0759,20.2935,0.5278,25.5,4.9,1.73424836601307,0.0694141414141414,1.4823220439691,0.182512180629828,84150000.0,%,0.0,5.8494,1.3782,0.0,26.2179,0.4647,0.3686,2.8526,2.3077,1.2179,0.0,0.0962,0.1122,1.0897,0.1282,1.6346,0.0481,0.0,4.5513,1.2821,44.1506,4.4712,1.7788,25.5,4.9,1.73424836601307,0.0694141414141414,1.4823220439691,0.182512180629828,84150000.0,%,0.0,14.4317,0.2626,0.0,26.42,1.2388,1.9124,1.2274,7.6383,2.8201,0.5537,0.1313,2.4034,0.177,0.9248,0.3311,0.0,0.0057,1.3701,35.5712,0.0057,2.5746,0.0,25.5,4.9,1.73424836601307,0.0694141414141414,1.4823220439691,0.182512180629828,84150000.0,%
71,Iraq,0.0,11.1327,3.8118,0.0,6.2761,1.9023,0.1441,0.2306,3.5164,0.0432,1.7366,0.0288,0.9584,0.1369,0.0576,0.0288,0.7278,0.0,0.0,0.6341,38.8673,29.6152,0.1513,27.4,29,1.57939836375079,0.0330044052863436,1.50828697293896,0.0381069855254877,39725000.0,%,0.0997,4.1476,0.9372,0.0,29.7308,0.7378,0.1196,1.5753,1.4756,0.8774,0.1196,0.0199,0.2991,0.6979,0.0399,0.339,0.2592,0.0,4.7059,0.1994,45.8225,7.2383,0.5583,27.4,29,1.57939836375079,0.0330044052863436,1.50828697293896,0.0381069855254877,39725000.0,%,0.0083,11.1909,0.033,0.0,33.7215,2.2877,0.7433,0.7763,5.7648,2.2547,0.1074,0.3799,1.8996,0.0496,0.223,0.3469,0.0,0.0,0.2065,38.8173,0.0165,0.9911,0.1817,27.4,29,1.57939836375079,0.0330044052863436,1.50828697293896,0.0381069855254877,39725000.0,%
72,Ireland,0.0,27.1689,8.6472,0.0,2.7091,0.9231,0.9372,0.2829,10.0477,0.0283,6.5464,0.0707,0.863,0.0389,0.0707,0.0531,1.5137,0.0,0.0,0.8417,22.8329,16.1839,0.2405,26.9,<2.5,4.04853088147112,0.0734359384369378,0.466999800119928,3.50809514291425,5003000.0,%,3.2284,14.0167,2.9997,0.0,14.4471,0.4977,0.7398,1.8832,5.0982,4.5601,0.0807,0.1211,0.3901,0.3228,0.0807,1.7487,0.7129,0.0,6.0533,0.3497,35.9833,5.4479,1.2376,26.9,<2.5,4.04853088147112,0.0734359384369378,0.466999800119928,3.50809514291425,5003000.0,%,0.7787,28.5256,0.3115,0.0,14.0504,1.4017,3.2849,0.8543,13.5407,9.6847,0.3021,0.5569,0.7363,0.0991,1.364,0.59,0.0,0.0047,0.3351,21.4791,0.0425,1.9681,0.0897,26.9,<2.5,4.04853088147112,0.0734359384369378,0.466999800119928,3.50809514291425,5003000.0,%
73,Israel,0.0,15.8138,1.2809,0.0,1.6083,0.87,0.5746,1.6051,8.1541,0.0257,4.8443,0.0867,3.0787,0.1605,0.061,0.0353,0.8315,0.0,0.0,1.3194,34.1862,25.1782,0.2857,26.7,<2.5,7.43905164930556,0.0550238715277778,6.60963541666667,0.774392361111111,9216000.0,%,0.6267,11.5653,0.5127,0.0,15.297,0.5555,0.6409,2.6919,5.7257,4.0023,0.0997,0.1424,1.581,0.8688,0.0712,1.0255,0.4985,0.0,3.6177,0.6552,38.4133,9.8846,1.524,26.7,<2.5,7.43905164930556,0.0550238715277778,6.60963541666667,0.774392361111111,9216000.0,%,0.11,29.564,0.0204,0.0041,12.7832,1.2755,2.6773,0.8476,16.5363,8.3374,0.7131,1.5444,1.4792,0.0652,0.6846,0.4931,0.0,0.0041,0.5134,20.436,0.0326,1.7889,0.0896,26.7,<2.5,7.43905164930556,0.0550238715277778,6.60963541666667,0.774392361111111,9216000.0,%
74,Italy,0.0,21.8727,5.3931,0.0,1.3598,1.0529,0.7327,0.2541,8.7134,0.0198,5.9146,0.0627,0.4753,0.0858,0.0099,0.0297,0.1056,0.0,0.0,1.4324,28.1306,24.127,0.2277,22.9,<2.5,4.353685153244,0.150927093007828,3.49452865861749,0.708229401618681,60296000.0,%,1.4624,12.5657,2.1014,0.0,16.2999,0.6389,0.7951,1.9878,5.0121,3.9188,0.1136,0.0994,0.213,0.6957,0.0142,0.9655,0.1562,0.0,4.4299,0.7099,37.4414,9.1722,1.2069,22.9,<2.5,4.353685153244,0.150927093007828,3.49452865861749,0.708229401618681,60296000.0,%,0.1827,26.7179,0.1405,0.0,16.4832,1.7191,3.7754,0.8853,12.5299,8.0191,0.5293,0.178,1.4848,0.0141,0.7167,0.5996,0.0,0.0,0.5855,23.2845,0.0141,1.9907,0.1499,22.9,<2.5,4.353685153244,0.150927093007828,3.49452865861749,0.708229401618681,60296000.0,%
