HR,Name,DM,HD,SAO,FK5,IRflag,r_IRflag,Multiple,GLON,GLAT,SpType,RAh,RAm,RAs,DE-,DEd,DEm,DEs
1012,62    Ari,BD+27  500,20825,75892,,,,,159.43,-24.38,G5III,03,22,11.9,+,27,36,27
1013,,CD-27 1183,20853,168475,,,,,220.75,-56.82,F7V,03,20,45.2,-,26,36,23
1014,,CP-67  217,20888,248776,2235,,,,283.83,-44.38,A3V,03,17,59.0,-,66,55,37
1015,63Tau2Ari,BD+20  551,20893,75899,,I,,,164.27,-29.73,K3III,03,22,45.2,+,20,44,31
1016,,CD-24 1600,20894,168482,,,,,215.54,-56.07,G6.5IIbCN-1Hdel -1,03,21,24.0,-,23,38,07
1017,33Alp Per,BD+49  917,20902,38787,120,I,,W,146.57,-05.86,F5Ib,03,24,19.4,+,49,51,40
1018,,CD-26 1257,20980,168493,2237,,,,219.04,-56.30,A0V,03,22,16.3,-,25,35,16
1019,,BD+33  636,20995,56419,,,,,156.09,-19.30,A0V,03,24,29.7,+,33,32,09
1020,,BD+53  657,21004,24024,,,,,144.50,-02.36,A9III-IV,03,25,48.4,+,53,55,18
1021,,CD-48  930,21011,216278,,,,,258.40,-54.29,K0III,03,21,33.3,-,47,46,37
1022,64    Ari,BD+24  481,21017,75912,2240,I,,,161.78,-26.39,gK4,03,24,18.5,+,24,43,27
1023,,BD+04  532,21018,111161,,,,,177.72,-41.26,G5III,03,23,39.1,+,04,52,55
1024,,BD-08  643,21019,130457,,,,,191.80,-49.20,G2V,03,23,17.8,-,07,47,39
1025,Iot Hyi,CP-77  134,21024,255973,1095,,,,293.66,-37.01,F4III,03,15,57.6,-,77,23,18
1026,,BD+40  736,21038,38809,,,,,151.58,-12.91,A0V,03,25,09.4,+,41,15,26
1027,65    Ari,BD+20  556,21050,75915,,,,,164.58,-29.43,A1V,03,24,26.1,+,20,48,13
1028,,BD+12  473,21051,93416,2241,,,,170.87,-35.66,K0III-IV,03,24,10.1,+,12,37,46
1029,,BD+48  913,21071,38817,,,,,147.20,-06.33,B7V,03,25,57.4,+,49,07,15
1030,1Omi Tau,BD+08  511,21120,111172,121,I,,,174.12,-38.16,G6IIIFe-1,03,24,48.8,+,09,01,44
1031,,CD-33 1202,21149,194268,,,,,231.95,-56.71,K3III,03,23,44.6,-,32,42,26
1032,,BD+71  201,21179,4917,,I,,,134.70,12.72,M2III,03,30,19.5,+,71,51,50
1033,,BD+59  657,21203,12770,,,,,141.25,3.09,B9V+A1,03,28,23.6,+,60,15,20
1034,,BD+48  920,21278,38849,,,,,147.52,-06.19,B5V,03,28,03.1,+,49,03,46
1035,,BD+59  660,21291,24054,122,,,,141.50,2.88,B9Ia,03,29,04.1,+,59,56,25
1036,,BD+18  484,21335,93436,2242,,,D,166.64,-30.61,A3Vnp,03,27,03.2,+,18,45,23
1037,,BD+49  944,21362,38862,,,,,147.19,-05.46,B6Vn,03,28,52.4,+,49,50,54
1038,2Xi  Tau,BD+09  439,21364,111195,123,,,,174.01,-37.25,B9Vn,03,27,10.2,+,09,43,58
1039,,BD+12  477,21379,93439,,,,,171.47,-35.06,A0V s,03,27,18.7,+,12,44,06
1040,,BD+58  607,21389,24061,,I,,,142.19,2.06,A0Ia,03,29,54.9,+,58,52,43
1041,,BD+33  656,21402,56475,,,,,156.60,-18.61,A2V,03,28,20.8,+,33,48,27
1042,Chi1For,CD-36 1290,21423,194289,,,,,237.74,-56.16,A1IV,03,25,55.8,-,35,55,15
1043,,BD+58  608,21427,24062,,,,,141.94,2.49,A2V,03,30,11.3,+,59,21,58
1044,34    Per,BD+49  945,21428,38872,,,,,147.45,-05.70,B3V,03,29,22.1,+,49,30,32
1045,,CD-27 1228,21430,168544,,,,,222.37,-55.70,G5III,03,26,22.5,-,27,19,03
1046,,BD+54  684,21447,24064,,,,,144.14,-00.75,A1V,03,30,00.2,+,55,27,07
1047,,BD+46  760,21455,38874,,,,,148.93,-07.80,B7V,03,29,26.2,+,46,56,16
1048,66    Ari,BD+22  495,21467,75945,,,,,163.95,-27.29,K0IV,03,28,26.6,+,22,48,15
1049,,CD-42 1115,21473,216316,,,,,247.78,-55.30,A0V,03,26,11.7,-,41,38,13
1050,,BD-11  667,21530,148972,,,,,197.35,-50.01,K2III,03,28,01.0,-,11,17,12
1051,,BD+47  844,21551,38893,,,,,148.42,-06.73,B8V,03,30,37.0,+,48,06,13
1052,35Sig Per,BD+47  843,21552,38890,124,I,,,148.48,-06.83,K3III,03,30,34.5,+,47,59,43
1053,,CP-70  230,21563,248797,,,,,286.07,-42.15,G0-5+A3-5V,03,24,02.5,-,69,37,29
1054,Chi2For,CD-36 1306,21574,194312,2244,,,,237.27,-55.85,K2III,03,27,33.4,-,35,40,53
1055,,BD+72  178,21610,4936,2251,,,,134.10,14.14,A0Vn,03,35,12.4,+,73,20,49
1056,,BD+48  938,21620,38906,,,,,147.90,-05.74,A0Vn,03,31,29.4,+,49,12,35
1057,NOVA 1901,,,,,,,,,,,,,,,,,
1058,Chi3For,CD-36 1310,21635,194318,,,,W,237.56,-55.71,A1V,03,28,11.5,-,35,51,12
1059,,BD+48  942,21661,38912,,,,,147.84,-05.56,B9III,03,31,49.1,+,49,24,03
1060,,BD-07  606,21665,130520,,,,,191.86,-47.34,G5,03,29,39.1,-,06,48,18
1061,4    Tau,BD+10  452,21686,93463,,,,,173.32,-35.55,A0Vn,03,30,24.5,+,11,20,11
1062,,BD-13  662,21688,148985,2246,,,,199.55,-50.32,A5IV,03,29,36.0,-,12,40,29
1063,,BD+47  847,21699,38917,,,,,148.68,-06.65,B8IIIpMn,03,32,08.6,+,48,01,25
1064,,CP-69  192,21722,248804,2243,,,,285.65,-42.24,F3-5IV,03,25,36.2,-,69,20,11
