HR,Name,DM,HD,SAO,FK5,IRflag,r_IRflag,Multiple,GLON,GLAT,SpType,RAh,RAm,RAs,DE-,DEd,DEm,DEs
1,,BD+44 4550,3,36042,,,,,114.44,-16.88,A1Vn,00,05,09.9,+,45,13,45
2,,BD-01 4525,6,128569,,,,,98.33,-61.14,gG9,00,05,03.8,-,00,30,11
3,33    Psc,BD-06 6357,28,128572,1002,I,,,93.75,-65.93,K0IIIbCN-0.5,00,05,20.1,-,05,42,27
4,86    Peg,BD+12 5063,87,91701,2004,,,,106.19,-47.98,G5III,00,05,42.0,+,13,23,46
5,,BD+57 2865,123,21085,,,,,117.03,-03.92,G5V,00,06,16.0,+,58,26,12
6,,CD-4914337,142,214963,,,,W,321.61,-66.38,G1IV,00,06,19.0,-,49,04,30
7,10    Cas,BD+63 2107,144,10978,2005,,,,118.06,1.75,B9III,00,06,26.5,+,64,11,46
8,,BD+28 4704,166,73743,,,,,111.26,-32.83,K0V,00,06,36.8,+,29,01,17
9,,CD-23    4,203,166053,1003,,,,52.21,-79.14,A7V,00,06,50.1,-,23,06,27
10,,BD-18 6428,256,147090,,,,,74.36,-75.90,A6Vn,00,07,18.2,-,17,23,11
11,,BD-03    2,315,128595,,,,,98.02,-63.29,B8IIIpSi,00,07,44.1,-,02,32,56
12,,CD-23   13,319,166066,,,,,55.56,-79.07,A2Vp:,00,07,46.8,-,22,30,32
13,,CD-34   17,344,192367,,,,,355.91,-78.67,K1III,00,08,03.5,-,33,31,46
14,,BD-03    3,352,128602,2006,I,,,98.34,-63.24,K2III+F,00,08,12.1,-,02,26,52
15,21Alp And,BD+28    4,358,73765,1,I,,,111.73,-32.84,B8IVpMnHg,00,08,23.3,+,29,05,26
16,,BD-09    5,360,128604,,,,,91.79,-69.04,gG8,00,08,17.4,-,08,49,26
17,,BD+35    8,400,53677,,,,,113.45,-25.45,F8IV,00,08,41.0,+,36,37,36
18,,BD-18    3,402,147103,,I,,,74.69,-76.25,M0III,00,08,33.4,-,17,34,39
19,,BD+24    3,417,73769,,,,,110.97,-36.42,K0III,00,08,52.2,+,25,27,46
20,,BD+78    1,431,4048,,,,,120.98,17.00,A7IV,00,09,20.2,+,79,42,53
21,11Bet Cas,BD+58    3,432,21133,2,I,,,117.52,-03.27,F2III-IV,00,09,10.7,+,59,08,59
22,87    Peg,BD+17    7,448,91734,,,,,108.99,-43.51,G9III,00,09,02.4,+,18,12,43
23,,CP-54   19,469,231943,,,,W,316.25,-62.02,G4IV,00,09,02.4,-,54,00,07
24,Kap1Scl,CD-28   16,493,166083,,,,,25.24,-80.63,F2V,00,09,21.0,-,27,59,16
25,Eps Phe,CD-46   18,496,214983,3,,,,324.34,-69.60,K0III,00,09,24.7,-,45,44,51
26,34    Psc,BD+10    8,560,91750,,,,,106.87,-50.43,B9Vn,00,10,02.3,+,11,08,44
27,22    And,BD+45   17,571,36123,4,,,,115.52,-16.21,F2II,00,10,19.3,+,46,04,20
28,,BD+56   11,584,21162,,,,,117.38,-05.26,B7IV,00,10,29.7,+,57,09,56
29,,BD-06   11,587,128621,,,,D,96.99,-66.03,K1III,00,10,18.8,-,05,14,55
30,Gam3Oct,CP-82    4,636,258215,3971,,,,304.63,-34.77,G8III,00,10,02.1,-,82,13,26
31,,BD-13   13,645,147127,2008,,,,87.69,-72.60,K0IV,00,10,42.8,-,12,34,48
32,,CP-73    4,661,255642,,,,W,306.98,-43.58,F2V+F6V,00,10,38.6,-,73,13,28
33,6    Cet,BD-16   17,693,147133,,,,,82.24,-75.06,F7V,00,11,15.9,-,15,28,05
34,Kap2Scl,CD-28   26,720,166103,5,I,,W,26.30,-81.13,K5III,00,11,34.4,-,27,47,59
35,The Scl,CD-35   42,739,192388,6,,,,347.16,-78.34,F4V,00,11,44.0,-,35,07,59
36,,BD+47   21,743,36148,,I,,,116.16,-14.20,gK4,00,11,59.1,+,48,09,09
37,,BD-18   14,787,147144,,I,,,76.32,-77.10,K5III,00,12,10.0,-,17,56,18
38,,BD+36   12,829,53725,,,,,114.55,-24.55,B2V,00,12,50.4,+,37,41,36
39,88Gam Peg,BD+14   14,886,91781,7,I,',W,109.43,-46.68,B2IV,00,13,14.2,+,15,11,01
40,,BD+26   13,895,73823,,,,,112.56,-35.12,G0III,00,13,24.0,+,26,59,14
41,23    And,BD+40   29,905,36173,2010,,,,115.27,-21.27,F0IV,00,13,30.8,+,41,02,07
42,,CD-26   56,942,166130,,I,,,38.28,-81.49,K5III,00,13,42.1,-,26,01,19
43,,CD-26   57,943,166131,,I,,,36.52,-81.54,K5III,00,13,44.2,-,26,17,05
44,,BD+32   21,952,53744,2012,,,,113.99,-29.02,A1V,00,14,02.3,+,33,12,22
45,89Chi Peg,BD+19   27,1013,91792,1004,I,,,111.30,-41.83,M2+III,00,14,36.2,+,20,12,24
46,,BD-08   26,1014,128655,,I,,,96.87,-68.76,M3+III,00,14,27.6,-,07,46,50
47,,CP-85    2,1032,258217,3972,,,,303.91,-32.06,M0-1III,00,13,19.4,-,84,59,39
48,7    Cet,BD-19   21,1038,147169,,I,,,75.11,-78.23,M3III,00,14,38.4,-,18,55,58
49,,BD+21   13,1048,73838,,,,,111.92,-39.81,A1pSi,00,14,56.1,+,22,17,03
50,35    Psc,BD+08   19,1061,109087,,,,,107.86,-52.98,F0IV,00,14,58.8,+,08,49,15
51,,BD-10   30,1064,128660,,,,,95.06,-70.44,B9V,00,14,54.5,-,09,34,11
52,,BD+30   26,1075,53755,,I,,,113.93,-30.70,K5,00,15,07.0,+,31,32,09
53,,BD+26   23,1083,73842,,,,W,113.10,-34.90,A1Vn,00,15,10.6,+,27,16,59
54,,CD-35   65,1089,192418,,,,,345.80,-78.99,K3III,00,14,58.2,-,34,54,16
55,,BD+76    5,1141,4071,,,,,120.89,14.22,B8Vnn,00,16,14.0,+,76,57,03
56,,BD+42   41,1185,36221,,,,,116.23,-18.82,A2VpSi,00,16,21.6,+,43,35,41
57,,CD-32   72,1187,192430,2014,I,,W,1.53,-81.18,K5III,00,16,08.9,-,31,26,47
58,,CP-76   19,1221,255650,,,,,305.79,-41.02,G8-K0III,00,15,55.2,-,75,54,41
59,36    Psc,BD+07   27,1227,109100,2015,,,,108.28,-53.64,G8II-III,00,16,34.1,+,08,14,24
60,,BD+60   21,1239,11084,,,,,118.83,-01.06,G8III,00,16,57.1,+,61,32,00
61,,BD-21   24,1256,166167,,,,,72.13,-79.47,B8III,00,16,42.5,-,20,12,38
62,,BD+47   50,1279,36236,2016,,,,117.01,-14.53,B7III,00,17,09.1,+,47,56,51
63,24The And,BD+37   34,1280,53777,,,,,115.62,-23.70,A2V,00,17,05.5,+,38,40,54
64,,CP-79    7,1324,255652,,,,,305.07,-38.20,F3III,00,16,49.0,-,78,46,50
65,,BD+50   46,1337,21273,,I,,,117.59,-11.09,O9IIInn,00,17,43.0,+,51,25,59
66,,BD-19   30,1343,147205,,,,,77.21,-78.78,F4IV-V,00,17,32.6,-,19,03,04
67,,BD+00   28,1367,109119,2017,,,,105.89,-60.07,K0II,00,17,47.7,+,01,41,20
68,25Sig And,BD+35   44,1404,53798,1005,,,,115.59,-25.61,A2V,00,18,19.7,+,36,47,07
69,,BD+10   25,1419,91832,,,,,110.00,-50.83,K0III,00,18,17.2,+,11,12,21
70,26    And,BD+42   48,1438,36256,,,,,116.70,-18.68,B8V,00,18,42.1,+,43,47,28
71,,BD+30   35,1439,53803,1006,,,,114.79,-30.84,A0IV,00,18,38.3,+,31,31,02
72,,BD-08   38,1461,128690,,,,,99.29,-69.40,G0V,00,18,41.8,-,08,03,10
73,,CD-43   64,1483,215047,,,,,323.20,-72.58,K2III,00,18,42.6,-,43,14,07
74,8Iot Cet,BD-09   48,1522,128694,9,I,,W,98.98,-70.19,K1.5III,00,19,25.7,-,08,49,26
75,,BD+39   56,1527,36269,,,,,116.46,-21.74,K1III,00,19,41.6,+,40,43,47
76,,BD+48   79,1561,36272,,,,,117.63,-13.68,A0V s,00,20,05.2,+,48,51,55
77,Zet Tuc,CP-65   13,1581,248163,10,I,',,308.35,-51.90,F9V,00,20,04.3,-,64,52,29
78,,BD+30   42,1606,53820,,,,,115.13,-31.47,B7V,00,20,24.4,+,30,56,09
79,,BD+32   45,1632,53825,,I,,,115.53,-29.52,K5III,00,20,45.5,+,32,54,41
80,41    Psc,BD+07   36,1635,109152,1008,I,,,109.91,-53.90,gK3,00,20,35.9,+,08,11,25
81,,BD+10   32,1663,91858,,,,,110.93,-51.18,A0V,00,20,54.5,+,10,58,37
82,27Rho And,BD+37   45,1671,53828,1009,,,,116.37,-24.52,F5III,00,21,07.3,+,37,58,07
83,Pi  Tuc,CP-70   12,1685,248167,2018,,,,306.87,-47.27,B9V,00,20,39.0,-,69,37,30
84,Iot Scl,CD-29   86,1737,166207,,,,,15.52,-83.15,G5III,00,21,31.2,-,28,58,54
85,,BD-20   50,1760,166210,,I,,,77.51,-80.20,M5IIe,00,21,46.3,-,20,03,28
86,42    Psc,BD+12   25,1796,91866,2020,,,,112.19,-48.78,K3III,00,22,25.5,+,13,28,57
87,,CP-78    9,1801,255663,,,,,305.04,-39.58,K3III,00,21,28.6,-,77,25,37
88,9    Cet,BD-13   60,1835,147237,,I,',W,97.34,-73.64,G2V,00,22,51.8,-,12,12,34
89,,CD-31  138,1909,192495,,,,,358.89,-82.70,B9IVMn,00,23,12.6,-,31,02,10
90,,BD+37   58,1967,53860,,I,:,W,117.07,-23.98,S6.5IIIeZr6Ti2,00,24,02.0,+,38,34,38
91,,BD+51   62,1976,21366,,,,,118.68,-10.63,B5IV,00,24,15.6,+,52,01,12
92,NOVA 1572,,,,,,,,,,,,,,,,,
93,12    Cas,BD+61   69,2011,11172,,,,,119.79,-00.88,B9III,00,24,47.5,+,61,49,52
94,,BD-03   49,2023,128743,2021,,,,107.27,-64.27,K1III,00,24,29.7,-,02,13,09
95,47    Tuc,,,,,,,,,,,,,,,,,
96,,BD+52   61,2054,21381,2022,,,,118.92,-09.62,B9IV,00,25,06.4,+,53,02,49
97,44    Psc,BD+01   57,2114,109192,1010,,,W,109.73,-60.26,G5III,00,25,24.2,+,01,56,23
98,Bet Hyi,CP-77   16,2151,255670,11,I,',,304.81,-39.77,G2IV,00,25,45.1,-,77,15,15
99,Alp Phe,CD-42  116,2261,215093,12,I,,A,320.02,-73.98,K0III,00,26,17.0,-,42,18,22
100,Kap Phe,CD-44  101,2262,215092,,,,,318.42,-72.68,A7V,00,26,12.2,-,43,40,48
101,10    Cet,BD-00   63,2273,128760,,,,,109.50,-62.27,G8III,00,26,37.4,-,00,02,59
102,,CD-26  138,2363,166282,2025,,,,47.84,-84.35,G8III,00,27,14.7,-,25,32,50
103,47    Psc,BD+17   55,2411,91910,,I,,,115.10,-44.62,M3III,00,28,02.9,+,17,53,35
104,,BD+43   92,2421,36390,2027,,,,118.57,-18.28,A2V s,00,28,13.7,+,44,23,40
105,Eta Scl,CD-33  152,2429,192545,2026,,,,342.36,-82.23,M4III,00,27,55.7,-,33,00,26
106,48    Psc,BD+15   63,2436,91912,1012,I,,,114.89,-46.06,K5III,00,28,12.7,+,16,26,42
107,,BD+09   47,2454,109224,2028,,,,113.62,-52.26,F6Va vw,00,28,20.1,+,10,11,23
108,,BD-21   57,2475,166296,2029,,,W,83.87,-81.40,G0V,00,28,21.1,-,20,20,06
109,,CD-40   93,2490,215103,,I,,,321.94,-76.35,M0III,00,28,26.4,-,39,54,54
110,,BD+36   66,2507,53928,,,,,117.94,-25.75,G5III,00,28,56.6,+,36,54,00
111,,CD-51  113,2529,232055,,,,,311.91,-66.20,K0III,00,28,43.1,-,50,31,58
112,,BD+76   10,2589,4130,2031,,,,121.74,14.20,K0IV,00,30,55.0,+,77,01,10
113,,BD+59   68,2626,21457,,,,,120.29,-02.79,B9IIIn,00,30,19.9,+,59,58,38
114,28    And,BD+28   75,2628,74041,,,,,117.42,-32.89,A7III,00,30,07.3,+,29,45,06
115,,BD-15   84,2630,147307,2030,,,,99.58,-76.75,F2III,00,29,51.9,-,14,51,51
116,,CD-32  154,2632,192567,,,,,344.92,-83.15,K4III,00,29,48.9,-,32,07,00
117,12    Cet,BD-04   54,2637,128791,13,I,,,109.57,-66.27,M0III,00,30,02.4,-,03,57,26
118,,CD-24  179,2696,166318,14,,,,66.87,-84.19,A5Vn,00,30,22.7,-,23,47,16
119,,CD-41  116,2724,215120,,,,,318.97,-75.53,F2III,00,30,27.8,-,40,56,22
120,,CD-48  102,2726,215119,,,,,312.52,-68.52,F2V,00,30,26.1,-,48,12,54
121,13    Cas,BD+65   67,2729,11243,,,,,120.94,3.73,B6V,00,31,25.3,+,66,31,10
122,,BD+32   80,2767,53956,,,,W,118.16,-29.10,K1III,00,31,25.6,+,33,34,54
123,14Lam Cas,BD+53   82,2772,21489,,,,,120.05,-08.24,B8Vn,00,31,46.4,+,54,31,20
124,,BD+52   92,2774,21486,,I,,,119.91,-09.92,K2III,00,31,41.2,+,52,50,22
125,Lam1Phe,CD-49  115,2834,215131,15,,,W,311.75,-67.98,A0V,00,31,25.0,-,48,48,13
126,Bet1Tuc,CP-63   50,2884,248201,,,,W,306.78,-54.02,B9V,00,31,32.7,-,62,57,29
127,Bet2Tuc,CP-63   50,2885,248202,,,,W,306.78,-54.01,A2V+A7V,00,31,33.6,-,62,57,57
128,,BD+42   99,2888,36453,,,,,119.29,-19.24,A1Vn,00,32,26.8,+,43,29,41
129,,BD+70   24,2904,4142,2034,,,,121.44,8.16,A0Vn,00,33,19.3,+,70,58,54
130,15Kap Cas,BD+62  102,2905,11256,16,,,,120.84,0.14,B1Ia,00,33,00.0,+,62,55,54
131,52    Psc,BD+19   79,2910,74084,2033,,,,116.94,-42.36,K0III,00,32,35.5,+,20,17,40
132,51    Psc,BD+06   64,2913,109262,2032,,,,114.55,-55.61,B9.5V,00,32,23.8,+,06,57,20
133,,BD+26   76,2924,74083,,,,,117.82,-35.10,A2IV,00,32,34.5,+,27,34,50
134,,BD+27   84,2942,74090,,,,,117.96,-34.41,K0III,00,32,49.1,+,28,16,49
135,,BD+54  101,2952,21512,,,,,120.28,-07.88,K0III,00,33,10.4,+,54,53,42
136,Bet3Tuc,CP-63   52,3003,248208,,,,W,306.54,-53.97,A0V,00,32,43.8,-,63,01,52
137,16    Cas,BD+65   70,3038,11265,,,,,121.25,3.93,B9III,00,34,24.9,+,66,45,01
138,,CD-30  156,3059,166367,1013,I,,,0.01,-85.40,K2III,00,33,41.1,-,29,33,30
139,The Tuc,CP-71   20,3112,255679,2035,,,,305.01,-45.79,A7IV,00,33,23.3,-,71,15,58
140,,CP-53  117,3158,232091,1014,,,,308.97,-64.55,F3IV-V,00,34,27.8,-,52,22,23
141,,BD+12   57,3166,91980,,,,,116.77,-49.30,K0,00,34,55.3,+,13,22,16
142,13    Cet,BD-04   62,3196,128839,,,,,112.89,-66.15,F8V,00,35,14.9,-,03,35,34
143,14    Cet,BD-01   68,3229,128843,2036,,,,114.12,-63.10,F5IV,00,35,32.8,-,00,30,20
144,,BD+53  102,3240,21551,,,,,120.67,-08.64,B7III,00,36,08.3,+,54,10,07
145,,BD+12   59,3268,91990,,,,,117.11,-49.49,F7V,00,35,54.7,+,13,12,24
146,,BD+59   84,3283,11291,,,,,121.08,-02.49,A4III,00,36,27.3,+,60,19,34
147,Lam2Phe,CD-48  121,3302,215157,,,,,310.27,-68.90,F6V,00,35,41.1,-,48,00,03
148,,CP-55  117,3303,232099,,,,,307.83,-62.16,K0IV,00,35,33.4,-,54,49,19
149,,BD+26   91,3322,74136,,,,,118.81,-35.50,B8IIIpHgMn:,00,36,20.0,+,27,15,17
150,,BD-15  109,3325,147360,,,,,105.75,-77.33,G9III,00,36,03.0,-,14,58,25
151,,CD-23  220,3326,166400,2037,,,,83.10,-84.48,A6pSr,00,36,06.9,-,22,50,33
152,,BD+43  113,3346,36509,,I,,,120.18,-18.31,K5-M0III,00,36,46.6,+,44,29,19
153,17Zet Cas,BD+53  105,3360,21566,17,,,,120.78,-08.91,B2IV,00,36,58.3,+,53,53,49
154,29Pi  And,BD+32  101,3369,54033,18,,,,119.47,-29.05,B5V,00,36,52.9,+,33,43,10
155,53    Psc,BD+14   76,3379,91995,2039,,,,117.70,-47.49,B2.5IV,00,36,47.3,+,15,13,54
156,,BD+23   84,3411,74148,,,,,118.74,-38.74,K2III,00,37,07.2,+,24,00,51
157,,BD+34   86,3421,54038,,,,,119.70,-27.38,G2.5IIa,00,37,21.1,+,35,23,58
158,,BD+81   13,3440,106,3941,,,,122.53,19.63,dF6,00,39,47.3,+,82,29,38
159,,CD-25  225,3443,166418,,,,,68.68,-86.03,G8V,00,37,20.7,-,24,46,02
160,,CP-65   58,3444,248225,,,,,305.46,-51.93,K2-3III,00,36,37.4,-,65,07,29
161,,BD+02   80,3457,109315,2040,,,,116.06,-59.55,K4III,00,37,30.5,+,03,08,07
162,,CP-55  130,3488,232114,,,,,307.41,-62.61,K0II-IIICNIV,00,37,18.1,-,54,23,39
163,30Eps And,BD+28  103,3546,74164,19,I,,,119.57,-33.47,G6IIIFe-3CH1,00,38,33.3,+,29,18,42
164,,BD+48  192,3574,36550,,I,,,120.88,-13.47,K7III,00,39,09.9,+,49,21,16
165,31Del And,BD+30   91,3627,54058,20,I,:,,119.87,-31.94,K3III,00,39,19.7,+,30,51,39
166,54    Psc,BD+20   85,3651,74175,,,,W,119.18,-41.53,K0+V,00,39,21.8,+,21,15,02
167,55    Psc,BD+20   87,3690,74182,,I,,,119.36,-41.35,K0III+F3V,00,39,55.6,+,21,26,18
168,18Alp Cas,BD+55  139,3712,21609,21,I,,,121.42,-06.30,K0IIIa,00,40,30.5,+,56,32,14
169,,CP-73   42,3719,255690,,,,,304.22,-43.96,A1m,00,38,40.8,-,73,08,14
170,,CD-34  224,3735,192663,,,,,322.13,-82.73,F8V,00,39,57.9,-,33,57,42
171,,CD-45  201,3750,215185,,,,,309.65,-72.18,K1IIICNII,00,39,52.0,-,44,47,48
172,,BD-17  109,3794,147395,,,,W,108.92,-79.09,G5,00,40,28.6,-,16,31,01
173,,CD-24  263,3795,166475,,,,,85.79,-85.86,G3V,00,40,32.9,-,23,48,16
174,,BD-05  101,3807,128891,2042,,,W,116.05,-67.08,K0III,00,40,42.4,-,04,21,07
175,32    And,BD+38   90,3817,54079,2043,,,,120.76,-23.37,G8III,00,41,07.2,+,39,27,31
176,,CP-60   46,3823,232143,,,,,305.56,-57.61,G1V,00,40,26.4,-,59,27,16
177,,BD+65   83,3856,11336,2045,,,,121.98,3.29,G9III-IV,00,42,03.4,+,66,08,51
178,,BD+23   94,3883,74200,2044,,,W,120.09,-38.19,A7m,00,41,36.0,+,24,37,45
179,19Xi  Cas,BD+49  164,3901,21637,2046,,,,121.41,-12.33,B2V,00,42,03.9,+,50,30,45
180,Mu  Phe,CD-46  180,3919,215194,1015,,,,308.31,-70.94,G8III,00,41,19.6,-,46,05,06
181,,BD+57  132,3924,21642,,,,,121.77,-04.10,B9.5III,00,42,31.1,+,58,45,12
182,M 31  And,,,,,,,,,,,,,,,,,
183,Xi  Phe,CP-57  143,3980,232152,,,,W,305.65,-60.57,ApSrEuCr,00,41,46.4,-,56,30,06
184,20Pi  Cas,BD+46  146,4058,36602,,,,,121.52,-15.82,A5V,00,43,28.1,+,47,01,29
185,Lam1Scl,CD-39  175,4065,192690,,,,W,311.54,-78.52,A0V,00,42,42.9,-,38,27,48
186,,CP-60   48,4088,248238,,,,,304.92,-56.83,K5III,00,42,41.8,-,60,15,45
187,Rho Tuc,CP-66   47,4089,248237,2047,,,,304.43,-51.63,F6V,00,42,28.4,-,65,28,05
188,16Bet Cet,BD-18  115,4128,147420,22,I,,,111.31,-80.68,G9.5IIICH-1,00,43,35.4,-,17,59,12
189,,BD+47  181,4142,36617,,,,,121.72,-14.99,B5V,00,44,26.4,+,47,51,51
190,,BD-12  126,4145,147422,,,,,115.84,-74.78,K2III-IV,00,43,50.2,-,12,00,42
191,Eta Phe,CP-58   42,4150,232162,23,,,W,305.08,-59.63,A0IV,00,43,21.2,-,57,27,47
192,21    Cas,BD+74   27,4161,4216,24,,,,122.55,12.12,A2IV,00,45,39.0,+,74,59,17
193,22Omi Cas,BD+47  183,4180,36620,25,,,,121.78,-14.57,B5IIIe,00,44,43.5,+,48,17,04
194,17Phi1Cet,BD-11  128,4188,147423,2048,I,,,116.69,-73.39,K0III,00,44,11.4,-,10,36,34
195,Lam2Scl,CD-39  181,4211,192703,26,,,,310.14,-78.60,K1III,00,44,12.1,-,38,25,18
196,,BD+54  143,4222,21677,,,,,122.05,-07.64,A2V s,00,45,17.2,+,55,13,18
197,,BD-22  127,4247,166528,,,,,106.02,-84.66,F1III-IV,00,44,44.4,-,22,00,22
198,,CD-43  207,4293,215221,1017,,,,307.36,-74.40,F0V,00,44,57.1,-,42,40,36
199,,CP-63   72,4294,248243,,,,W,304.31,-54.61,F5III-IV,00,44,32.3,-,62,29,52
200,,BD+68   49,4295,11380,,,,,122.50,6.46,F3V,00,46,39.0,+,69,19,30
201,,BD-05  120,4301,128935,,I,,,119.00,-67.46,M0III,00,45,24.1,-,04,37,45
202,,CP-54  166,4304,232168,2049,,,,305.07,-63.39,F7III,00,45,00.0,-,53,42,54
203,18    Cet,BD-13  128,4307,147432,,,,W,117.05,-75.68,G0V,00,45,28.7,-,12,52,51
204,,BD+54  148,4321,21689,,,,,122.19,-07.56,A2III,00,46,15.1,+,55,18,19
205,,BD+44  160,4335,36640,,,,,121.95,-18.00,B9.5IIIpHgMnCr,00,46,10.9,+,44,51,41
206,,BD-17  132,4338,147436,,,,,115.55,-79.21,F1IVn,00,45,41.7,-,16,25,27
207,,BD+58  101,4362,21693,,,,,122.33,-03.29,G0Ib,00,46,42.4,+,59,34,28
208,23    Cas,BD+74   29,4382,4226,,,,,122.69,11.98,B8III,00,47,46.1,+,74,50,51
209,,CD-48  176,4391,215232,,,,W,305.68,-69.54,G1V,00,45,45.6,-,47,33,06
210,,CD-23  293,4398,166555,,,,,108.14,-85.24,G3V,00,46,11.8,-,22,31,19
211,57    Psc,BD+14  111,4408,92072,,I,,,121.19,-47.38,M4IIIa,00,46,33.0,+,15,28,32
212,,BD+71   37,4440,4229,,,,,122.68,9.80,K0IV,00,48,09.1,+,72,40,30
213,58    Psc,BD+11   96,4482,92080,2050,,,,121.22,-50.88,G8II,00,47,01.5,+,11,58,26
214,59    Psc,BD+18  101,4490,92082,2051,,,,121.57,-43.28,F0Vn,00,47,13.6,+,19,34,44
215,34Zet And,BD+23  106,4502,74267,27,I,,W,121.74,-38.59,K1IIe,00,47,20.3,+,24,16,02
216,60    Psc,BD+05  104,4526,109461,,,,,121.13,-56.12,G8III,00,47,23.6,+,06,44,27
217,61    Psc,BD+20  105,4568,74280,,,,,121.82,-41.94,F8V,00,47,54.8,+,20,55,31
218,,BD-18  127,4585,147451,,I,,,117.34,-80.89,K3III,00,47,43.3,-,18,03,41
219,24Eta Cas,BD+57  150,4614,21732,,I,:,,122.60,-05.05,F9V+dM0,00,49,06.0,+,57,48,57
220,,BD-22  134,4622,166585,1018,,,,114.55,-84.54,B9V,00,48,01.1,-,21,43,21
221,62    Psc,BD+06  105,4627,109470,,,,,121.55,-55.56,G8III,00,48,17.4,+,07,18,00
222,,BD+04  123,4628,109471,1019,,,W,121.49,-57.57,K2V,00,48,23.0,+,05,16,50
223,25Nu  Cas,BD+50  147,4636,21729,,,,,122.51,-11.90,B9III,00,48,50.1,+,50,58,06
224,63Del Psc,BD+06  107,4656,109474,28,I,,W,121.73,-55.28,K4IIIb,00,48,41.0,+,07,35,06
225,64    Psc,BD+16   76,4676,92099,1020,,,W,122.09,-45.92,F8V,00,48,58.7,+,16,56,26
226,35Nu  And,BD+40  171,4727,36699,1021,,,,122.60,-21.79,B5V+F8V,00,49,48.8,+,41,04,44
227,,BD-14  145,4730,147464,2054,I,,,120.84,-76.42,K5III,00,49,25.6,-,13,33,41
228,,CD-24  345,4732,166602,,,,,113.36,-86.97,K2III,00,49,13.9,-,24,08,11
229,,CD-47  229,4737,215245,2053,,,,304.21,-70.42,G8III,00,48,56.7,-,46,41,52
230,65    Psc,BD+26  131,4757,74295,,,,,122.51,-35.16,F4III,00,49,52.8,+,27,42,39
231,65    Psc,BD+26  131,4758,74296,,,,,122.51,-35.16,F5III,00,49,53.2,+,27,42,37
232,,CD-24  347,4772,166608,,,,,116.39,-86.21,A3V,00,49,33.4,-,23,21,42
233,,BD+63   99,4775,11424,29,,,S,122.85,1.38,G0III-IV+B9.5V,00,50,43.6,+,64,14,51
234,,BD+44  176,4778,36702,2055,,,,122.72,-17.87,A0pCr,00,50,18.3,+,45,00,08
235,19Phi2Cet,BD-11  153,4813,147470,30,,,,121.81,-73.51,F7IV-V,00,50,07.6,-,10,38,40
236,Lam Hyi,CP-75   64,4815,255710,31,,,,303.18,-42.20,K5III,00,48,35.4,-,74,55,24
237,,BD+61  178,4817,11430,,I,,,122.91,-01.07,K2Ib-IICN-2,00,51,16.4,+,61,48,21
238,,BD+50  161,4818,21767,,,,,122.85,-11.36,F2IV,00,50,57.4,+,51,30,29
239,,CD-44  216,4849,215254,,,,,303.82,-73.73,A9-F0III,00,50,03.7,-,43,23,41
240,,BD+82   20,4853,143,3942,,,,123.03,20.84,A4V,00,54,53.1,+,83,42,26
241,,BD+50  164,4881,21775,,,,,122.95,-11.30,B9.5V,00,51,33.7,+,51,34,16
242,Rho Phe,CD-51  209,4919,232203,2056,,,,303.23,-66.14,F2III,00,50,41.2,-,50,59,13
243,,BD+02  118,4928,109507,,,,,122.87,-59.49,K0III,00,51,18.3,+,03,23,06
244,,BD+60  124,5015,11444,,,,,123.13,-01.75,F8V,00,53,04.1,+,61,07,27
245,,CD-44  226,5042,215270,,,,W,302.66,-73.42,F2V+F5V,00,51,52.1,-,43,42,33
246,,BD+37  159,5066,54225,,,,,123.24,-24.32,A2V,00,52,53.4,+,38,32,55
247,,CD-24  376,5098,166647,,I,,,128.10,-86.87,K2III,00,52,40.6,-,24,00,21
248,20    Cet,BD-01  114,5112,129009,1022,I,,,123.83,-64.01,M0III,00,53,00.5,-,01,08,39
249,,BD+36  148,5118,54237,,,,,123.38,-25.45,gK3,00,53,28.2,+,37,25,05
250,,BD+51  179,5128,21814,,I,,,123.29,-10.18,A5m,00,53,47.6,+,52,41,21
251,,CD-25  338,5156,166651,,,,,132.59,-87.62,F6IV-V,00,53,12.4,-,24,46,37
252,Lam1Tuc,CP-70   37,5190,248269,,,,W,302.81,-47.62,F7IV-V,00,52,24.3,-,69,30,16
253,26Ups1Cas,BD+58  134,5234,21832,,I,,,123.39,-03.90,K2III,00,55,00.1,+,58,58,22
254,66    Psc,BD+18  122,5267,92145,,,,,123.96,-43.68,A1VN,00,54,35.2,+,19,11,18
255,21    Cet,BD-09  181,5268,129019,,,,,125.17,-71.60,G5IV,00,54,17.6,-,08,44,27
256,,BD+47  242,5273,36763,,I,,,123.55,-14.19,M2.5IIIa,00,55,05.2,+,48,40,43
257,,CP-63   83,5276,248276,2057,,,,302.51,-54.25,M4III,00,53,37.9,-,62,52,17
258,36    And,BD+22  146,5286,74359,,,,,123.97,-39.24,K1IV,00,54,58.0,+,23,37,42
259,,BD+23  126,5316,74365,,I,,,124.03,-38.31,M4IIIab,00,55,14.7,+,24,33,25
260,,BD+57  172,5343,21846,,I,,,123.57,-04.87,K3III,00,56,12.9,+,57,59,48
261,,BD+67   81,5357,11481,,,,,123.43,5.91,F4III,00,56,55.6,+,68,46,34
262,67    Psc,BD+26  151,5382,74373,2059,,,,124.17,-35.65,A5IV,00,55,58.5,+,27,12,34
263,,BD-08  167,5384,129032,2058,I,,,126.06,-70.19,K5III,00,55,42.4,-,07,20,50
